Taxa	Latitude	Longitude
PI257599	9.02999973297119	38.7000007629395
PI257600	9.02999973297119	38.7000007629395
PI276837	9.57999992370605	41.8600006103516
PI92270	39.92889	116.38833
PI253986	33.5	36.2999992370605
PI569090	11.1899995803833	24.1499996185303
PI569097	11.1899995803833	24.1499996185303
PI569148	11.1899995803833	24.1499996185303
PI569244	11.1899995803833	24.1499996185303
PI569264	11.1899995803833	24.1499996185303
PI569418	4.09000015258789	30.6800003051758
PI569419	4.53999996185303	29.2700004577637
PI569420	4.53999996185303	29.2700004577637
PI569421	5.23000001907349	30.1399993896484
PI569422	5.23000001907349	30.1399993896484
PI569423	5.23000001907349	30.1399993896484
PI569435	8.52999973297119	29.1000003814697
PI569443	5.34999990463257	27.2700004577637
PI569444	5.23000001907349	30.1399993896484
PI569445	5.23000001907349	30.1399993896484
PI569446	5.23000001907349	30.1399993896484
PI569447	5.23000001907349	30.1399993896484
PI569452	4.84999990463257	31.6100006103516
PI569453	4.84999990463257	31.6100006103516
PI569454	4.84999990463257	31.6100006103516
PI569455	4.84999990463257	31.6100006103516
PI569458	8.52999973297119	29.1000003814697
PI569459	8.52999973297119	29.1000003814697
PI569460	8.52999973297119	29.1000003814697
PI569462	8.52999973297119	29.1000003814697
PI514456	13.3800001144409	-12.2799997329712
PI569886	10.5500001907349	34.2799987792969
PI570145	12.0200004577637	29.3899993896484
PI570254	8.27999973297119	26.2900009155273
PI152965	11	29.4200000762939
PI218112	31.8299999237061	70.9000015258789
PI229841	-23.83333	31.5
PI221548	13.0600004196167	5.25
PI585406	10.2799997329712	13.1899995803833
PI585448	9.39999961853027	-0.839999973773956
PI585452	10.7799997329712	-0.810000002384186
PI585454	10.5200004577637	-0.439999997615814
PI585461	11.0600004196167	-0.180000007152557
PI585467	9.90999984741211	-0.209999993443489
PI585577	-3.09999990463257	29.3899993896484
PI585608	-1.92999994754791	30.0599994659424
PI585954	8.35999965667725	1
PI585966	8.2833333	0.9999995
PI570388	4.78999996185303	32.689998626709
PI570393	4.01999998092651	32.4700012207031
PI570400	3.80999994277954	30.6100006103516
PI586499	-23.6000003814697	29.1599998474121
PI267573	7.67000007629395	36.8400001525879
PI646242	2.15000009536743	33.25
PI619807	3.34999990463257	33.3300018310547
PI646251	2.77999997138977	32.2999992370605
PI213900	-1.16999995708466	36.4799995422363
PI619838	2.61999988555908	31.9300003051758
PI646266	3.01999998092651	30.9200000762939
PI620072	-0.019999999552965	29.7700004577637
PI620157	0.44999998807907	30.2000007629395
PI562781	12.3900003433228	-7.59000015258789
PI562970	10.2799997329712	11.1700000762939
PI562971	8.39999961853027	8.55000019073486
PI562981	9.27999973297119	5.82999992370605
PI562982	7.84999990463257	6.15000009536743
PI562985	6.48000001907349	9.43000030517578
PI562990	9.10000038146973	9.96000003814697
PI562991	8.93000030517578	8.60000038146973
PI562994	9.25	6.92999982833862
PI562997	9.39999961853027	6.03000020980835
PI562998	9.05000019073486	5.92999982833862
PI563002	9.32999992370605	5.05999994277954
PI563006	10.3000001907349	6.57999992370605
PI563009	11	7.84999990463257
PI563020	8.89999961853027	4.65000009536743
PI563021	10.4300003051758	3.8199999332428
PI563022	10.4300003051758	3.8199999332428
PI563196	-0.090000003576278	34.75
